အင်္ဂလိပ်,Myanmar,REMARK
BAHAR,ဘဟာ,
BAHARDU,ဗဟာဒူး,
BAHON,ဗဟုန်း,
BAI,ပယ်,
BAIK,ဗိုက်,
BAIKE,ဗိုက်,
BAIN,ဘိမ်,
BAINE,ဘိုင်,Byee-Thara
BAING,ဘိုင်,Byee-Thara
BAK,ဘက်,mmaws
BAL,ပယ်,
BALA,ဗလ,
BALU,ဘလူ,
BALUE,ဘီလူး,
BAM,ဘမ်,Byee-Thara
BAN,ဗန်,ဗန် / ဘန်
BANE,ဘိန်း,
BANN,ဘန်း,Byee-Thara
BANT,ဘန့်,Byee-Thara
BANYA,ဗညား,
BANYAR,ဗညား,
BAO,ဘို,
BAR,ဘာ,
BARANI,ဘရဏီ,
BARBU,ဘာဘူ,
BARLAR,ဘာလာ,
BARTHA,ဘာသ,
BASANTI,ဘစန်တီ,
BAT,ဘက်,Byee-Thara
BATHA,ဘသ,
BATT,ဘတ်,
BAUER,ဘားဝါ,
BAUK,ဘေါက်,Byee-Thara
BAUNK,ဘောက်,
BAW,ဘော,
BAWI,ဘဝီ,
BAWK,ဘောက်,Nan OnePay
BAWM,ဘောမ်,
BAY,ဗေး,
BAYAN,ဗရမ်း,
BAYANG,ဘရမ်,
BAYAR,ဗေရာ,
BAYDAR,ဘေတာ,
BAYE,ဘေး,mmaws
BE,ဘီး,
BEAUTY,ဗြူးတီး,
BEE,ဘီး,Byee-Thara
BEI,ပယ်,
BEIK,ဘိတ်,Byee-Thara
BEIN,ဘိန်း,Byee-Thara
BEINT,ဘိမ့်,Byee-Thara
BEJAY,ဘီဂျေး,
BEL,ဘယ်လ်,
BELL,ဘဲလ်,
BENNY,ဘန်နီ,
BENOD,ဘီနော့,
BER,ဘာ,mmaws
BERESFORD,ဘီရီဖော့,
BERT,ဘတ်,
BET,ဘက်,Byee-Thara
BETH,ဘတ်,
BETRABET,ဘတ်ထရီးဘက်ထ်,
BETT,ဘက်,mmaws
BHAUNG,ဘောင်း,
BHOME,ဘုန်း,
BHON,ဘုန်း,
BHONE,ဘုန်း,
BHUVANESH,ဘူဘာနက်ချ်,
BHWAR,ဘွား,
BHWE,ဘွေး,
BI,ဘီ,
BIAK,ဘိတ်,
BIE,ဘီ,
BILLY,ဘေလီ,
BIN,ဗင်,
BINE,ဗိုင်း,
BINN,ဘင်း,Byee-Thara
BINNYA,ဗညား,
BINOD,ဘီနော့ဒ်,
BINODH,ဘီနော့ဒ်,
BINT,ဘင့်,Byee-Thara
BIT,ဘစ်,Byee-Thara
BITE,ဘိုက်,
BLAING,ဘှိုင်,Byee-Thara
BLU,ဘလု,
BO,ဘို,ဘို / ဗိုလ်
BOAN,ဘုံ,
BOE,ဘိုး,
BOH,ဘို့,Byee-Thara
BOHT,ဘို့,Byee-Thara
BOI,ဘွိုင်,
BOKE,ဘုတ်,Byee-Thara
BOLAR,ဘိုလာ,
BOME,ဘိုမီ,
BON,ဘွန်,Byee-Thara
BONE,ဘုံ,
BONT,ဘွန့်,Byee-Thara
BOO,ဘူး,Byee-Thara
BOON,ဘွန်,
BORRILL,ဘိုရီးလ်,
BOSE,ဘို့စ်,
BOTE,ဘုတ်,
BOUT,ဘောက်,mmaws
BOY,ဘွိုင်,
BRAM,ဘရမ်,
BRAN,ဘရမ်,
BRANG,ဘရန်,
BRIGIC,ဘရီဂျစ်,
BROOKS,ဘရွတ်စ်,
BROWN,ဘရောင်း,
BRUCE,ဘရုစ်,
BRUN,ဘရမ်း,
BU,ဘူ,
BUDDHA,ဗုဒ္ဓ,
BUE,ဘူး,
BUN,ဘွန်,Byee-Thara
BUNDY,ဘန်ဒီ,
BUNN,ဘွန်း,Byee-Thara
BURNS,ဘန်း,
BUU,ဘူး,
BWA,ဘွား,
BWAL,ဘွယ်,mmaws
BWAN,ဘွမ်,
BWAR,ဘွား,
BWAY,ဘွဲ,
BWAYCHINTIGUL,ဘွေးချင်တီဂူလ်,
BWE,ဘွဲ,
BWEL,ဘွယ်,mmaws
BWET,ဘွဲ့,
BWINE,ဘွိုင်,
BY,ဘိုင်,
BYA,ဗျ,Byee-Thara
BYAM,ဗျန်,
BYAR,ဗျာ,
BYARL,ဗျာလ်,
BYAT,ဗျက်,mmaws
BYAW,ဗျော်,Byee-Thara
BYAWE,ဗွယ်,Byee-Thara
BYAWT,ဗျော့,Byee-Thara
BYAY,ဗြေ,Byee-Thara
BYE,ဗျေး,Byee-Thara
BYET,ဗျက်,mmaws
BYIN,ဘင်,
BYINE,ဗျိုင်း,
BYO,ဗျိုး,Byee-Thara
BYU,ဗျူ,Byee-Thara
C,စီ,mmaws
CA,က,
CAESAR,ဆည်းဆာ,
CAFE,ကဖီး,
CAMARA,ကာမရာ,
CAR,ကား,mmaws
CARD,ကတ်,
CARE,ကဲ,
CAROLINE,ကာရိုလိုင်း,
CARTER,ကာတာ,
CATHERINE,ကတ်သရင်း,
CATHY,ကေသီ,
CC,စီစီ,
CCI,စီ,mmaws
CEL,ခြယ်,mmaws
CELYN,စီလင်း,
CEM,ဇင်,mmaws
CENTER,စင်တာ,
CENTRE,စင်တာ,
CH,ခ,mmaws
CHA,ချ,mmaws
CHAE,ချဲ့,mmaws
CHAI,ချိုင်း,Byee-Thara
CHAIK,ချိုက်,Byee-Thara
CHAIKE,ချိုက်,Byee-Thara
CHAIL,ချယ်,
CHAIN,ချိန်,
CHAINE,ချိုင်,Byee-Thara
CHAING,ချိုင်,Byee-Thara
CHAINT,ချိမ့်,
CHAL,ချယ်,
CHAM,ချမ်,Byee-Thara
CHAN,ချမ်း,
CHANDAR,ချန်ဒါ,
CHANDI,ချန်ဒီ,
CHANDRA,ချန်ဒရာ,
CHANE,ချိန်း,mmaws
CHANG,ချမ်,
CHANGE,ချိန်,
CHANMYAEE,ချမ်းမြေ့,
CHANN,ချမ်း,
CHANNEL,ချန်နယ်,
CHANT,ချန့်,Byee-Thara
CHAR,ချာ,
CHARD,ချက်စ်,mmaws
CHARL,ချားလ်,mmaws
CHARM,ချမ်း,
CHATE,ချိတ်,mmaws
CHAUK,ချောက်,
CHAUNG,ချောင်,
CHAW,ချော,
CHAWE,ချော,
CHAY,ချေ,
CHE,ခြည်,
CHEE,ချီး,Byee-Thara
CHEERY,ချယ်ရီ,
CHEIK,ချိတ်,Byee-Thara
CHEIN,ချိန်,
CHEINT,ချိမ့်,
CHEL,ချယ်,
CHEN,ချန်,
CHENG,ချန်း,
CHER,ချယ်,mmaws
CHERRY,ချယ်ရီ,
CHERY,ချယ်ရီ,
CHET,ချက်,Byee-Thara
CHI,ခြည်,
CHIC,ချစ်,
CHICK,ချစ်,
CHIKAHIRO,ချီကဟီရို,
CHIKE,ချွိတ်,
CHIN,ချင်း,
CHINE,ချိုင်,Byee-Thara
CHING,ချင်း,
CHINGHTAWNG,ချင်းထွမ်,
CHINN,ချင်း,
CHINT,ချင့်,
CHIT,ချစ်,
CHLAING,ချှိုင်,Byee-Thara
CHO,ချို,
CHOE,ချိုး,Byee-Thara
CHOH,ချို့,Byee-Thara
